date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:37	756/756	---M--	200	added ('OK')	image/png	etag:%222f4-5d0d5a7f4c100%22	https://gateau.top/load/img/country/us.png	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/img/country/us.png	(from https://gateau.top/)
10:07:40	106/106	---M--	200	added ('OK')	image/png	etag:%226a-5d0d5a7f4c100%22	https://gateau.top/load/img/country/de.png	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/img/country/de.png	(from https://gateau.top/)
10:07:42	991/991	---M--	200	added ('OK')	image/png	etag:%223df-5d0d5a7f4c100%22	https://gateau.top/load/img/country/ar.png	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/img/country/ar.png	(from https://gateau.top/)
10:07:43	12404/12404	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2007:07:43%20GMT	http://ad.a-ads.com/2179282?size=468x60	C:/Users/TAHINA/Desktop/profit/hf/ad.a-ads.com/2179282e23b.html	(from https://gateau.top/)
10:07:44	4689/4689	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2007:07:44%20GMT	https://gateau.top/cdn-cgi/l/email-protection	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/cdn-cgi/l/email-protection.html	(from https://gateau.top/Contacts.html)
10:07:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264145477-4d7%22	https://gateau.top/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://gateau.top/Contacts.html)
10:07:54	104740/104740	---M--	200	added ('OK')	text/html	etag:%2219924-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-brands-400.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-brands-400.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:07:56	180684/180684	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222c1cc-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-brands-400.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-brands-400.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:07:58	402000/402000	---M--	200	added ('OK')	text/html	etag:%2262250-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-duotone-900.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-duotone-900.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:01	1132808/1132808	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22114908-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-duotone-900.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-duotone-900.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:02	392136/392136	---M--	200	added ('OK')	text/html	etag:%225fbc8-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-light-300.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-light-300.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:03	357732/357732	---M--	200	added ('OK')	text/html	etag:%2257564-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-regular-400.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-regular-400.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:04	999704/999704	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22f4118-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-light-300.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-light-300.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:04	891584/891584	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22d9ac0-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-regular-400.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-regular-400.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:06	303544/303544	---M--	200	added ('OK')	text/html	etag:%224a1b8-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-solid-900.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-solid-900.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:07	785900/785900	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22bfdec-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-solid-900.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-solid-900.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:08	426420/426420	---M--	200	added ('OK')	text/html	etag:%22681b4-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-thin-100.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-thin-100.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:11	1100824/1100824	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2210cc18-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-thin-100.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-thin-100.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:13	4964/4964	---M--	200	added ('OK')	text/html	etag:%221364-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-v4compatibility.woff2	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-v4compatibility.html	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:15	10556/10556	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22293c-5d76e90025680%22	https://gateau.top/load/icons/webfonts/fa-v4compatibility.ttf	C:/Users/TAHINA/Desktop/profit/hf/gateau.top/load/icons/webfonts/fa-v4compatibility.ttf	(from https://gateau.top/load/icons/fontawesome/all.min.css)
10:08:18	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Mar%202023%2007:08:16%20GMT	https://fonts.googleapis.com/robots.txt		(from https://gateau.top/)
10:08:30	25/25	---M--	200	added ('OK')	text/plain	etag:%226410c71b-19%22	http://ad.a-ads.com/robots.txt		(from https://gateau.top/)
